"Name","Disc. Date","Type","Phot."
"SN2007db","2007/04/04","Ic","1"
"SN2007dy","2007/05/13","Ib","1"
"SN2007ea","2007/05/17","Ic","1"
"SN2007eb","2007/05/17","Ib/c","1"
"SN2007eq","2007/06/13","Ib/c","1"
"SN2007ff","2007/06/30","Ib/c","1"
"SN2007fj","2007/07/06","Ib/c","1"
"SN2007fn","2007/07/08","Ib/c","1"
"SN2007fo","2007/07/09","Ib","1"
"SN2007gg","2007/07/28","Ib/c","1"
"SN2007go","2007/08/07","Ib","1"
"SN2007gx","2007/08/09","Ic","1"
"SN2007hl","2007/08/31","Ib/c","1"
"SN2007hn","2007/08/31","Ib/c","1"
"SN2007J","2007/01/15","Ib Pec","1"
"SN2007pl","2007/11/05","Ia","1"
"SN2007rb","2007/10/26","Ib/c","1"
"SN2007rw","2007/11/29","II","1"
"SN2008ao","2008/02/26","Ic","1"
"SN2008ay","2008/03/05","IIb","1"
"SN2008bs","2008/04/08","Ib","1"
"SN2008bt","2008/04/13","Ia","1"
"SN2008cx","2008/06/05","II","1"
"SN2008dq","2008/06/25","Ic","1"
"SN2008du","2008/06/30","Ic","1"
"SN2008dv","2008/07/01","Ic","1"
"SN2008eb","2008/07/07","Ic","1"
"SN2008em","2008/07/31","Ic","1"
"SN2008ew","2008/08/10","Ic","1"
"SN2008fd","2008/08/27","Ib","1"
"SN2008fh","2008/08/30","Ia","1"
"SN2008fi","2008/08/26","II","1"
"SN2008fn","2008/08/04","Ib/c","1"
"SN2008fo","2008/08/07","Ic","1"
"SN2008fs","2008/09/21","Ib/c","1"
"SN2008gc","2008/10/03","Ib/c","1"
"SN2008gj","2008/10/19","Ic","1"
"SN2008gk","2008/10/20","Ib/c","1"
"SN2008gm","2008/10/22","IIn","1"
"SN2008gx","2008/11/04","II","1"
"SN2008hl","2008/11/20","Ib/c?","1"
"SN2008hn","2008/11/25","Ic","1"
"SN2008ht","2008/11/23","Ib","1"
"SN2008hw","2008/10/07","Ic","1"
"SN2008ie","2008/12/15","II","1"
"SN2008ik","2008/12/17","Ic","1"
"SN2008im","2008/12/26","Ib","1"
"SN2008V","2008/02/06","II","1"
"SN2009ah","2009/02/19","II","1"
"SN2009ap","2009/03/05","Ic","1"
"SN2009bh","2009/03/17","Ic","1"
"SN2009C","2009/01/02","II","1"
"SN2009ca","2009/04/03","Ic","1"
"SN2009cf","2009/03/02","Ib","1"
"SN2009dp","2009/04/23","Ic","1"
"SN2009dq","2009/04/24","II","1"
"SN2009dt","2009/04/28","Ic","1"
"SN2009ef","2009/03/23","Ib","1"
"SN2009em","2009/05/05","Ic","1"
"SN2009fi","2009/05/30","II","1"
"SN2009fl","2009/05/30","Ia","1"
"SN2009fz","2009/06/08","II","1"
"SN2009gd","2009/06/09","Ic","1"
"SN2009gi","2009/06/17","II","1"
"SN2009gk","2009/06/23","II","1"
"SN2009gl","2009/06/23","II","1"
"SN2009ha","2009/07/02","Ib","1"
"SN2009hh","2009/07/10","Ic","1"
"SN2009hm","2009/07/17","Ib","1"
"SN2009hu","2009/06/25","Ib","1"
"SN2009hy","2009/08/02","Ic","1"
"SN2009if","2009/08/18","Ib/c","1"
"SN2009iu","2009/09/01","Ib","1"
"SN2009je","2009/09/17","Ic","1"
"SN2009jv","2009/10/16","II","1"
"SN2009jx","2009/10/17","II","1"
"SN2009jy","2009/10/14","Ic","1"
"SN2009ka","2009/10/18","II","1"
"SN2009ki","2009/06/14","Ic","1"
"SN2009lj","2009/11/13","Ic","1"
"SN2009lw","2009/11/24","Ib/IIb","1"
"SN2009mg","2009/12/07","IIb","1"
"SN2009mu","2009/12/21","II","1"
"SN2009np","2009/12/15","Ic","1"
"SN2009nz","2009/11/27","Ic BL","1"
"SN2009Z","2009/02/02","II","1"
"SNF20080324-000","2008/03/24","Ib","1"
"SNF20080324-001","2008/03/24","Ic","1"
"SNF20080512-003","2008/05/12","Ic","1"
"SNF20080610-004","2008/06/10","Ib","1"
"SNF20080629-000","2008/06/29","Ib/c","1"
"SNF20080703-002","2008/07/03","Ib","1"
"SNF20080719-004","2008/07/19","Ib/c","1"
"ASASSN-14dd","2014/06/24","Ibn","1"
"ASASSN-14de","2014/06/23","Ic","1"
"ASASSN-14dq","2014/07/08","II","1"
"ASASSN-14ms","2014/12/26","Ib","1"
"CSS121204:033907-064917","2012/12/04","Ib","1"
"DES13C1feu","2013/09/15","Ic","1"
"DES13C2bxd","2013/08/31","Ic","1"
"DES14E2ag","2014/08/17","Ic","1"
"iPTF13edf","2013/11/28","IIb/Ib","1"
"LSQ11jw","2011/12/18","Ic","1"
"LSQ12axx","2012/03/08","Ib","1"
"LSQ12bph","2012/04/01","Ic","1"
"LSQ12bqn","2012/04/02","Ic?","1"
"LSQ12dyw","2012/07/17","Ic Pec","1"
"LSQ12elq","2012/08/20","Ic?","1"
"LSQ12emi","2012/08/21","Ic","1"
"LSQ12ffm","2012/09/19","Ic?","1"
"LSQ12fnt","2012/10/20","Ic","1"
"LSQ12frx","2012/10/25","Ib/c","1"
"LSQ12fwb","2012/11/02","IIb","1"
"LSQ12gbt","2012/11/06","Ib/c","1"
"LSQ12gbz","2012/11/06","Ic","1"
"LSQ12gkk","2012/11/13","Ic","1"
"LSQ12hbo","2012/12/05","IIb","1"
"LSQ12htu","2012/12/21","IIb?","1"
"LSQ13abf","2013/04/15","Ic","1"
"LSQ13bbv","2013/07/15","Ib","1"
"LSQ13bca","2013/07/07","II","1"
"LSQ13bwg","2013/08/20","Ib/c","1"
"LSQ13byc","2013/08/25","Ib/c","1"
"LSQ13der","2013/11/28","Ic","1"
"LSQ13dkg","2013/12/09","Ib/c","1"
"LSQ13th","2013/04/02","Ib/c","1"
"LSQ13xf","2013/04/07","IIb","1"
"LSQ14akx","2014/03/13","IIb","1"
"LSQ14an","2014/01/02","Ic","1"
"LSQ14ayl","2014/04/09","Ic","1"
"LSQ14bef","2014/04/22","Ic BL","1"
"LSQ14cnl","2014/06/18","Ib","1"
"LSQ14ds","2014/01/08","Ic","1"
"LSQ14fig","2014/09/08","Ic","1"
"LSQ14ftp","2014/10/02","Ic","1"
"LSQ14fxj","2014/10/12","SLSN-I","1"
"LSQ14gac","2014/10/23","Ib","1"
"LSQ14ggv","2014/12/02","Ib-IIb","1"
"LSQ14gqk","2014/12/18","Ib/c","1"
"LSQ14hj","2014/01/20","IIb","1"
"LSQ15cj","2014/12/24","Ic","1"
"MASTER OT J120451.50+265946.6","2014/10/28","Ib","1"
"MLS101113:033911+225352","2010/11/13","Ic","1"
"PS1-11ka","2011/02/04","Ib/c","1"
"PS1-13abw","2013/04/01","Ic","1"
"PS1-13avb","2013/05/02","Ib","1"
"PS1-13djz","2013/09/19","Ic","1"
"PSN J00564446-0954595","2013/06/10","IIb","1"
"PSN J01232438+0925545","2012/10/03","Ib/c","1"
"PSN J06120295-2149353","2014/01/20","Ic","1"
"PSN J09430082+3146486","2014/05/02","IIb","1"
"PSN J11220840-3804001","2014/05/31","IIb","1"
"PSN J11430127+2357016","2013/05/29","II","1"
"PSN J11484578-2817312","2013/11/27","Ic BL","1"
"PSN J11534177-5406168","2013/03/10","Ic","1"
"PSN J12393328+1525520","2013/02/22","Ic","1"
"PSN J12565170+2629167","2011/04/07","Ib/c","1"
"PSN J14004712+5920170","2010/10/03","Ic","1"
"PSN J22081243+4110503","2014/09/28","Ic","1"
"PTF10aavz","2010/11/14","Ic BL","1"
"PTF10hcw","2010/05/14","Ib","1"
"PTF10htz","2010/04/03","Ia","1"
"PTF10qts","2010/08/13","Ic BL","1"
"PTF10svt","2010/08/21","Ic","1"
"PTF10vgv","2010/09/14","Ic BL","1"
"PTF10vqv","2010/09/16","SLSN-I","1"
"PTF10xla","2010/10/04","Ib/c","1"
"PTF11bli","2011/03/15","Ib/c","1"
"PTF11dlg","2011/05/11","IIb","1"
"PTF11ilr","2011/07/22","Ib","1"
"PTF11ixk","2011/07/24","Ic","1"
"PTF11izq","2011/07/26","Ib","1"
"PTF11kaa","2011/08/03","Ib","1"
"PTF11klg","2011/08/19","Ic","1"
"PTF11kmb","2011/08/24","Ib-Ca","1"
"PTF12bwq","2012/03/22","Ib","1"
"PTF12cde","2012/03/30","Ib/c","1"
"PTF12gpn","2012/07/14","IIb","1"
"PTF12gvr","2012/07/20","Ib/c","1"
"PTF13cab","2013/07/30","Ib","1"
"PTF13cbf","2013/07/30","Ic","1"
"PTF13v","2013/02/01","IIb","1"
"PTF14va","2014/02/24","Ib/c","1"
"SN2010ac","2010/02/13","Ic","1"
"SN2010ad","2010/02/18","II","1"
"SN2010ah","2010/02/23","Ic BL","1"
"SN2010ak","2010/03/11","Ic","1"
"SN2010as","2010/03/19","Ib/c","1"
"SN2010av","2010/03/19","Ib/c","1"
"SN2010bf","2010/02/24","Ic","1"
"SN2010br","2010/04/10","Ib/c","1"
"SN2010dc","2010/05/22","Ib/c","1"
"SN2010do","2010/06/01","Ic","1"
"SN2010ei","2010/06/12","II","1"
"SN2010ej","2010/06/15","II","1"
"SN2010ek","2010/06/15","II","1"
"SN2010fk","2010/06/06","II","1"
"SN2010gd","2010/07/08","Ic","1"
"SN2010gi","2010/07/18","II","1"
"SN2010gk","2010/07/17","Ic","1"
"SN2010gr","2010/07/29","Ib/c","1"
"SN2010hc","2010/08/05","II","1"
"SN2010hf","2010/08/31","II","1"
"SN2010hy","2010/09/04","SLSN-I-R","1"
"SN2010if","2010/09/26","Ib","1"
"SN2010ig","2010/09/28","Ib","1"
"SN2010ik","2010/09/17","II","1"
"SN2010il","2010/09/29","Ib/c","1"
"SN2010io","2010/09/30","Ic","1"
"SN2010iq","2010/10/11","Ic","1"
"SN2010ir","2010/10/09","II","1"
"SN2010is","2010/10/12","Ib/c","1"
"SN2010jw","2010/11/14","Ic","1"
"SN2010kc","2010/11/15","Ib","1"
"SN2010kh","2010/11/18","II","1"
"SN2010ln","2010/12/25","Ib","1"
"SN2010ls","2010/12/29","II","1"
"SN2010mb","2010/04/10","Ic","1"
"SN2010O","2010/01/24","Ib","1"
"SN2010X","2010/02/07","Ic","1"
"SN2011bh","2011/03/29","Ic","1"
"SN2011bo","2011/03/21","Ic","1"
"SN2011bp","2011/04/06","Ib","1"
"SN2011br","2011/04/09","Ib","1"
"SN2011D","2011/01/05","IIb","1"
"SN2011dw","2011/06/24","IIb","1"
"SN2011ee","2011/06/27","Ic","1"
"SN2011fl","2011/08/22","Ib","1"
"SN2011ft","2011/08/30","Ib","1"
"SN2011gd","2011/08/28","Ib","1"
"SN2011gh","2011/09/19","Ib/c","1"
"SN2011gw","2011/09/15","Ib/c","1"
"SN2011hp","2011/11/03","Ic","1"
"SN2011ii","2011/11/15","Ib","1"
"SN2011ip","2011/11/20","Ic","1"
"SN2011jf","2011/12/22","Ib Pec","1"
"SN2011jg","2011/12/17","IIb","1"
"SN2011jl","2011/11/27","Ic","1"
"SN2011jm","2011/12/24","Ic","1"
"SN2011N","2011/01/20","Ic","1"
"SN2012aa","2012/01/29","Ic","1"
"SN2012an","2012/02/21","IIb","1"
"SN2012at","2012/02/06","Ic","1"
"SN2012au","2012/03/14","Ib","1"
"SN2012ba","2012/01/21","Ic","1"
"SN2012bk","2012/03/25","Ib","1"
"SN2012bt","2012/03/07","Ic","1"
"SN2012bw","2012/03/22","Ic","1"
"SN2012C","2012/01/04","Ic","1"
"SN2012cs","2012/05/27","IIb","1"
"SN2012dh","2012/06/26","II P","1"
"SN2012dp","2012/06/16","Ib","1"
"SN2012dx","2012/07/26","Ib","1"
"SN2012ej","2012/08/22","Ic","1"
"SN2012ek","2012/08/18","Ib","1"
"SN2012es","2012/08/12","IIb","1"
"SN2012ex","2012/09/16","Ib","1"
"SN2012ey","2012/09/16","IIb","1"
"SN2012fg","2012/10/07","IIb","1"
"SN2012fn","2012/10/07","Ic","1"
"SN2012gi","2012/11/09","Ic","1"
"SN2012gu","2012/10/25","Ic","1"
"SN2012hf","2012/11/22","Ic","1"
"SN2012hs","2012/12/15","II","1"
"SN2012ib","2012/12/20","Ib/c","1"
"SN2012im","2012/07/25","Ic","1"
"SN2012J","2012/01/02","Ib/c","1"
"SN2012Q","2012/01/14","Ic","1"
"SN2013bb","2013/04/03","IIb","1"
"SN2013bd","2013/03/17","IIb","1"
"SN2013bl","2013/04/07","IIb","1"
"SN2013bv","2013/04/09","Ic","1"
"SN2013ch","2013/04/30","IIb","1"
"SN2013dk","2013/06/22","Ic","1"
"SN2013ek","2013/07/24","Ib","1"
"SN2013ep","2013/07/29","IIb","1"
"SN2013F","2013/01/05","Ib/c","1"
"SN2013ff","2013/08/31","Ic","1"
"SN2013fq","2013/09/15","IIb","1"
"SN2013gg","2013/11/05","IIb","1"
"SN2013gk","2013/10/28","IIb","1"
"SN2013gl","2013/05/09","Ib","1"
"SN2013hd","2013/12/02","Ib/c","1"
"SN2013ho","2013/11/01","Ib/c","1"
"SN2013hv","2013/11/18","Ic","1"
"SN2013hx","2013/12/31","Ic","1"
"SN2013J","2013/01/19","Ic","1"
"SN2013P","2013/01/15","Ia","1"
"SN2014ad","2014/03/12","Ic","1"
"SN2014ar","2014/04/18","Ic","1"
"SN2014as","2014/04/18","Ic","1"
"SN2014av","2014/04/19","Ibn","1"
"SN2014bk","2014/05/28","Ibn","1"
"SN2014br","2014/05/05","Ib/c","1"
"SN2014bt","2014/05/31","Ib/c","1"
"SN2014cl","2014/06/16","IIb","1"
"SN2014cp","2014/06/23","Ic BL","1"
"SN2014cq","2014/06/20","IIb","1"
"SN2014df","2014/06/03","Ib","1"
"SN2014dj","2014/09/24","Ic","1"
"SN2014dp","2014/09/28","Ib","1"
"SN2014ds","2014/10/11","IIb","1"
"SN2014ef","2014/12/13","Ib","1"
"SN2014ei","2014/11/05","Ib","1"
"SNhunt181","2013/04/06","Ib/c","1"
"SNhunt242","2014/04/24","IIb","1"
"SNhunt268","2014/11/20","II/IIb","1"
"ASASSN-15bd","2015/01/08","IIb","1"
"ASASSN-15kj","2015/05/31","Ic","1"
"ASASSN-15mj","2015/07/12","Ib","1"
"ASASSN-15no","2015/08/03","Ic","1"
"ASASSN-15qz","2015/10/11","IIb","1"
"ASASSN-15re","2015/10/13","Ic Pec","1"
"ASASSN-15ta","2015/11/14","Ib","1"
"ASASSN-15tu","2015/12/08","IIb","1"
"ASASSN-15um","2015/12/28","Ic","1"
"DES15C1mat","2015/10/29","Ib/c","1"
"DES15C3oeb","2015/12/21","Ib/c","1"
"DES15E2mhi","2015/11/02","Ib/c","1"
"DES16C1zb","2016/08/26","IIb","1"
"LSQ15hj","2015/01/24","II","1"
"PS15ajp","2015/05/11","Ib/c","1"
"PS15ays","2015/06/27","Ib","1"
"PS15zq","2015/04/07","IIb","1"
"PSN J01101191+3313536","2015/08/17","IIb","1"
"PSN J02513304+3730434","2015/07/12","Ib/c","1"
"PSN J05521661+4650211","2015/01/23","Ic?","1"
"PSN J08123984-7953078","2015/12/26","Ib","1"
"PSN J10520833+3256394","2015/09/27","IIb","1"
"PSN J14102342-4318437","2015/12/15","Ib","1"
"PSN J17162885+0625585","2015/06/12","IIb","1"
"SMT J14323134-1339275","2015/02/22","IIb","1"
"SN2015ag","2015/08/06","Ic","1"
"SN2015ah","2015/08/06","Ib","1"
"SN2015au","2015/11/10","IIb","1"
"SN2015av","2015/11/16","Ic","1"
"SN2015bb","2015/11/16","Ib/c","1"
"SN2015G","2015/03/23","Ibn","1"
"SN2016flq","2016/09/26","Ic","1"
"SN1982R","1982/10/24","Ib","1"
"SN1983V","1983/11/25","Ic","1"
"SN1986M","1986/12/07","Ia","1"
"SN1987K","1987/07/28","IIb","1"
"SN1988ac","1988/12/30","Ib/c?","1"
"SN1988L","1988/04/30","Ib","1"
"SN1989E","1989/02/07","Ib","1"
"ASASSN-14az","2014/05/20","IIb","0"
"CSS101008:001049+141039","2010/10/03","IIn","0"
"CSS140421:142042+031602","2014/04/21","Ibn","0"
"CSS141028:081814+044553","2014/10/28","Ib","0"
"LSQ12bkl","2012/03/23","Ib/c","0"
"MLS121104:021643+204009","2012/11/04","Ic","0"
"SN2010am","2010/03/12","II","0"
"SN2010eh","2010/06/13","Ic","0"
"SN2010lg","2010/11/15","II","0"
"SN2011ca","2011/04/26","Ic","0"
"SN2011dc","2011/05/14","Ib","0"
"SN2011fz","2011/09/18","Ib/c","0"
"SN2011V","2011/01/28","IIb","0"
"SN2012fh","2012/10/18","Ic","0"
"SN2013cu","2013/05/05","II","0"
"CSS151130:014258+273410","2015/11/30","IIb?","0"
"PSN J10234760+3348477","2015/02/13","IIb?","0"
"SN2015ap","2015/09/08","Ib/c-BL","0"
"SN1995bb","1995/11/29","Ib/c",""
"SNLS-03D1cj","2003","Ib/c",""
"SNLS-03D1fp","2003","IIb",""
"GRB 080319B","2008/03/19","Ic",""
"PTF09awk","2009/01/01","Ib",""
"PTF09dah","2009/01/01","IIb",""
"PTF09dfk","2009/01/01","Ib",""
"PTF09dxv","2009/01/01","IIb",""
"PTF09dzt","2009/01/01","Ic",""
"PTF09fae","2009/01/01","IIb",""
"PTF09iqd","2009","Ic",""
"PTF09sk","2009/01/01","Ic BL",""
"SN1667A","2007/11/09","IIb",""
"iPTF13beo","2013/05/21","Ibn",""
"iPTF13cab","2013/08/03","Ib/c",""
"iPTF13cbf","2013/08/03","Ib/c",""
"iPTF13v","2013/02/05","IIb",""
"iPTF14va","2014/03/01","Ib/c",""
"LSQ13abk","2013","Ib/c",""
"LSQ14fyb","2014/10/23","Ic",""
"PS1-10ags","2010","Ib/c?",""
"PS1-10ahq","2010","Ic",""
"PS1-10bkc","2010","II L?",""
"PS1-10bkj","2010","Ia?",""
"PS1-10bll","2010","Ia?",""
"PS1-10bmj","2010","Ia?",""
"PS1-10mc","2010","Ib/c?",""
"PS1-10tk","2010","Ib/c?",""
"PS1-11ax","2011","Ia?",""
"PS1-11cq","2011","Ia?",""
"PS1-11jl","2011","Ia?",""
"PSN J0503","2014/11/06","Ib",""
"PSN J1148","2013/12/06","Ic BL",""
"PSN J2025","2014/11/06","Ic",""
"PSN J223202","2012/09/07","Ic",""
"PTF10bfz","2010/01/01","SLSN-I",""
"PTF10bhu","2010/01/01","Ic",""
"PTF10bip","2010/01/01","Ic",""
"PTF10gvb","2010","Ic",""
"PTF10in","2010/01/01","IIb",""
"PTF10osn","2010/07/26","Ic",""
"PTF10wg","2010","II/Ib/c",""
"PTF11bij","2011/04/27","Ib-Ca",""
"PTF11qcj","2011/11/05","Ib",""
"PTF12fhz","2012","IIb",""
"SN2010bh","2010/03/16","Ic BL",""
"SN2010ma","2010/12/19","Ic BL",""
"SN2012bz","2012/04/25","Ic BL",""
"SN2012eb","2012/07/14","Ib/c",""
"SN2013dx","2013/07/02","Ic BL",""
"SN2013ez","2013/02/15","Ic BL",""
"SN2013fu","2013/08/31","Ib/c",""
"iPTF15dtg","2015","Ic",""
"PS15ckn","2015/10/14","Ic",""
"PS15dow","2015/12/28","Ib",""
"PS15dpn","2015/12/29","Ibn",""
"PSN J0902","2015/04/11","IIb",""
"SMT J13254308-2932269","2015/03/19","Ic",""
"ESSENCE m010","","Ib",""
"ESSENCE p434","","Ib",""
