"Name","Disc. Date","Type","Phot."
"SNF20080512-003","2008/05/12","Ic","1"
"SN2011ep","2011/04/14","Ic","1"
"SN2007gx","2007/08/09","Ic","1"
"SN2016eld","2016/07/27","Ic","6"
"SN2009ap","2009/03/05","Ic","1"
"SN2008an","2008/02/24","Ic","13"
"SN2003hp","2003/08/25","Ic","1"
"SN2007cl","2007/05/23","Ic","81"
"PS15axw","2015/06/25","Ic","17"
"SN2010gd","2010/07/08","Ic","1"
"SN2012bt","2012/03/07","Ic","1"
"SN2008eb","2008/07/07","Ic","1"
"SN2004dx","2004/08/19","Ic","1"
"PS15bap","2015/06/29","Ic","12"
"SN2005nc","2005/05/30","Ic","1"
"SN2011bo","2011/03/21","Ic","1"
"SN2005kz","2005/12/01","Ic","56"
"SN2005at","2005/03/05","Ic","1"
"SN2005cb","2005/05/13","Ic","1"
"SN2005aw","2005/03/24","Ic","1"
"SN2003is","2003/10/14","Ic","1"
"SN2017dch","2017/04/15","Ic","4"
"SN1998bo","1998/04/22","Ic","1"
"SN2003fc","2003/06/05","Ic","1"
"SN2016emb","2016/07/28","Ic","7"
"SN2014eh","2014/11/03","Ic","22"
"SN2009dp","2009/04/23","Ic","1"
"SN2015av","2015/11/16","Ic","1"
"SN2007ms","2007/09/13","Ic","44"
"SN2016gsk","2016/09/27","Ic","1"
"SN2010eh","2010/06/13","Ic","1"
"SN2006fe","2006/08/27","Ic","0"
"SN2012im","2012/07/25","Ic","1"
"LSQ14fig","2014/09/08","Ic","1"
"SN2005fk","2005/09/12","Ic","13"
"SN2001ch","2001/05/28","Ic","9"
"SN2009ca","2009/04/03","Ic","1"
"SN1998ey","1998/12/05","Ic","3"
"SN2005ks","2005/11/04","Ic","5"
"SN2001em","2001/09/20","Ic","3"
"SN2002dn","2002/06/15","Ic","2"
"SN2010iq","2010/10/11","Ic","1"
"CSS120914:215710+055647","2012/09/14","Ic","1"
"SN2011it","2011/11/27","Ic","2"
"PTF11klg","2011/08/19","Ic","1"
"PSN J22081243+4110503","2014/09/28","Ic","1"
"SN2012gi","2012/11/09","Ic","1"
"SN2002ex","2002/08/19","Ic","4"
"SN1998cv","1998/06/24","Ic","1"
"SN2009dt","2009/04/28","Ic","1"
"PTF12gzk","2012/07/24","Ic","200"
"SN2003gf","2003/06/24","Ic","1"
"PS1-10ahq","2010","Ic",""
"SN2009hy","2009/08/02","Ic","1"
"SDSS-II SN 14475","2006/09/30","Ic","54"
"SN2007qv","2007/11/04","Ic","29"
"SN2008gj","2008/10/19","Ic","1"
"SN2016dyn","2016/05/06","Ic","16"
"SN2008hw","2008/10/07","Ic","1"
"SN2008em","2008/07/31","Ic","1"
"SN2007nm","2007/10/08","Ic","1"
"SN2008du","2008/06/30","Ic","1"
"SN2001eq","2001/09/12","Ic","5"
"PTF13cbf","2013/07/30","Ic","1"
"SN1992ar","1992/07/27","Ic","22"
"PTF10osn","2010/07/26","Ic",""
"SN2003jp","2003/10/22","Ic","1"
"PS1-11ava","2011","Ic",""
"SN2004fq","2004/10/13","Ic","1"
"SN2011ee","2011/06/27","Ic","1"
"PS1-11azj","2011","Ic",""
"PS1-11aoa","2011","Ic",""
"LSQ14fyb","2014/10/23","Ic",""
"SN2015K","2015/04/25","Ic","70"
"SN2004dc","2004/06/29","Ic","1"
"SN1997dh","1997/10/20","Ic","1"
"SN2006dg","2006/06/17","Ic","1"
"PS1-13abw","2013/04/01","Ic","1"
"PS1-13djz","2013/09/19","Ic","1"
"PSN J2025","2014/11/06","Ic",""
"PSN J223202","2012/09/07","Ic",""
"SN2013dx","2013/07/02","Ic BL",""
"SN2010ma","2010/12/19","Ic BL",""
"SN2002ap","2002/01/29","Ic BL","1781"
"SN2014cp","2014/06/23","Ic BL","1"
"SN2009nz","2009/11/27","Ic BL","1"
"SN2013ez","2013/02/15","Ic BL",""
"SN2007D","2007/01/09","Ic BL","82"
"SN2006aj","2006/02/18","Ic BL","424"
"SN2012ap","2012/02/10","Ic BL","94"
"SN2010bh","2010/03/16","Ic BL",""
"SN1997ef","1997/11/25","Ic BL","74"
"SN2003lw","2003/12/15","Ic BL","1"
"SN2012bz","2012/04/25","Ic BL",""
"SN2009bb","2009/03/21","Ic BL","233"
"SN2003dh","2003/03/31","Ic BL","2781"
"SN2013cq","2013/04/27","Ic BL","16"
"SN2010ah","2010/02/23","Ic BL","1"
"PSN J11484578-2817312","2013/11/27","Ic BL","1"
"SN2007bg","2007/04/16","Ic BL","62"
"SN2007I","2007/01/14","Ic BL","183"
"SN2007ce","2007/05/04","Ic BL","81"
"SN2005nb","2005/12/17","Ic BL","122"
"SN2010ay","2010/03/17","Ic BL","6"
"SN2017dcc","2017/04/16","Ic BL","6"
"PTF10qts","2010/08/13","Ic BL","1"
"SN2005da","2005/07/18","Ic BL","1"
"SN1998bw","1998/04/28","Ic BL","527"
"SN2016coi","2016/05/27","Ic BL","29"
"PTF10vgv","2010/09/14","Ic BL","1"
"SN2007ru","2007/11/27","Ic BL","71"
"SN2003jd","2003/10/25","Ic BL","61"
"SN2003id","2003/09/16","Ic Pec","81"
"CSS140505:143511+134946","2014/05/05","Ic-lum?","1"
"SN2002jj","2002/12/03","Ic/Ic-BL","7"
