 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 29 763 14 2 ZTF_g 802489715415 0 2.8912 108.394 5.03166 26.2468 5.7117e-06 0.0326867 -0.0335137 1.0857e-05 1182 30. 0.061196 0.057183 20.3979 26.2468 2 2458556.9897106 763120154 31.3914070311273 27.9310139681295 1.25019823445752 1.00786022704188 60.4452137793275 41.427956272053 1.46887081207266 1.10556876970888 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 30 763 14 2 ZTF_r 802512955415 0 2.0285 182.977 6.13129 26.1933 2.122e-06 0.0200197 0.0917396 3.91444e-06 1201 30. 0.04303 0.048556 20.3924 26.1933 2 2458557.0129514 763120254 -24.6577786741281 25.9589382263166 -1.05662729728216 0.973508597619346 -86.018946773709 46.7973887491493 -1.8504940477239 1.05789504877549 0.266783758687339 18.6179999351501 0.0430000014603138 3.42499995231628 0.186000004410744 2458155.060220 2458220.001366 0
 31 763 14 2 ZTF_i 802533285415 0 2.338 192.865 5.96873 25.51 1.2993e-06 0.0231044 0.186429 8.29371e-06 1193 30. 0.048004 0.058907 19.6052 25.51 2 2458557.033287 763120354 -10.7906950912243 30.3894348706299 -0.394985905010222 1.01347636697062 18.6253673762913 51.3007789154686 0.36550732159596 1.07607737479943 0.309106276483805 18.5229999160767 0.0670000016689301 3.81200003623962 0.372999995946884 2458227.891019 2458379.635255 0
 32 763 14 2 ZTF_r 803421165415 0 3.2332 177.768 6.49383 26.1594 5.1119e-06 0.0310227 0.100239 9.38062e-06 1195 30. 0.064384 0.068692 19.9319 26.1594 2 2458557.921169 763120254 -41.142570343877 39.1187986385428 -1.16993224945034 1.01465110134846 -75.0464028709433 55.321732663406 -1.36568109989879 1.1180705660893 0.266783758687339 18.6179999351501 0.0430000014603138 3.42499995231628 0.186000004410744 2458155.060220 2458220.001366 0
 33 763 14 2 ZTF_g 803453295415 0 3.1385 104.676 5.16691 26.2232 6.0789e-06 0.0331503 -0.0579689 1.17353e-05 1153 30. 0.062235 0.072932 20.245 26.2232 2 2458557.9532986 763120154 -35.4108730916268 28.1948384882185 -1.39708176713357 1.06408747809633 -19.6953308200286 40.7201061486174 -0.486933406654288 1.08951908741066 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 34 763 14 2 ZTF_g 803493835415 0 4.4376 100.565 5.00722 26.1715 1.90256e-05 0.0530081 -0.0315138 4.37715e-05 984 30. 0.1006 0.075712 19.9174 26.1715 2 2458557.993831 763120154 32.8755500358059 41.0105268364681 0.891728157608407 0.951963904244004 52.1189389303229 49.6563685895775 1.05666129991008 1.21548349100224 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 35 763 14 2 ZTF_g 803496655415 0 3.8782 99.2138 4.98334 26.1563 9.5824e-06 0.03916 -0.0378454 2.09769e-05 1056 30. 0.066316 0.076964 20.035 26.1563 1 2458557.9966551 763120154 96.5409050579362 35.8776763087246 2.99324220189908 1.02677122104283 126.50622292961 46.0092324921801 2.76810202476669 1.15927443415556 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 36 763 14 2 ZTF_g 803512435415 0 3.7207 86.9511 5.15783 26.0118 1.17837e-05 0.0424198 -0.0458652 2.6884e-05 1010 30. 0.068035 0.071774 19.8836 26.0118 2 2458558.0124306 763120154 78.8670799454715 39.9634975292353 2.1952656030101 0.856357931106983 80.5133810670572 52.2553466720782 1.55114545176646 1.13267791428126 0.208120490429944 19.0639998435974 0.0399999991059303 3.15700006484985 0.101999998092651 2458204.934965 2458228.995775 0
 37 763 14 2 ZTF_r 803526595415 0 2.442 126.022 8.11167 25.775 4.5881e-06 0.0295388 0.0937259 8.42621e-06 1196 30. 0.047897 0.056058 19.5094 25.775 1 2458558.0265972 763120254 -70.3386649387096 41.1208071252651 -1.90277436406532 0.901892298514393 -81.2884399713618 68.0723262957849 -1.2021907689169 1.06816577489207 0.266783758687339 18.6179999351501 0.0430000014603138 3.42499995231628 0.186000004410744 2458155.060220 2458220.001366 0
 38 763 14 2 ZTF_r 803532215415 0 2.6497 143.541 8.01389 25.9149 4.1043e-06 0.0278514 0.0867895 7.54065e-06 1190 30. 0.051729 0.059395 19.598 25.9149 2 2458558.0322106 763120254 -33.1919059144995 39.3832183258239 -0.937509740962877 1.02001509421263 -69.0311157682196 62.8189363355103 -1.10629132485538 1.07090592811007 0.266783758687339 18.6179999351501 0.0430000014603138 3.42499995231628 0.186000004410744 2458155.060220 2458220.001366 0
